radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst,cluster,membership_cluster_0,membership_cluster_1
0.18089944416371903,0.26105855279979545,0.11773623041940375,0.08360522022838499,0.11834733893557424,0.2781403755397128,0.30112382099137064,0.14767593615098884,0.8313711911357341,0.8076607106181967,0.10998290941992561,0.9062750601443464,0.8610247668705505,0.15369059656218403,0.6414035087719299,0.49240060392551593,0.5395119991967066,0.15874762428728617,0.3008457511075312,0.6269125544634715,0.25323567773653055,0.34744732576985415,0.17871222076215504,0.18280346820809248,0.16120629195471395,0.6658995397238343,0.7121848739495799,0.265585910137096,0.6929917106254709,0.11806600461430433,3,0.2499986026629436,0.24999965960010942
0.2069732187973724,0.45001278445410386,0.12794340576048507,0.11674143556280586,0.847639055622249,0.7890350436790843,0.08719646799116998,0.704447344644112,0.621191135734072,0.5813308687615526,0.5462953654368151,0.7344627105052125,0.3405194023864434,0.747623862487361,0.5237092731829575,0.13044791142425768,0.018676573953208153,0.013404021206361909,0.13834071687474828,0.35728037288479075,0.2493227651249122,0.47062398703403563,0.15263317497220255,0.17630057803468208,0.12273319306682696,0.18661196718030817,0.2416966786714686,0.018613029120384268,0.04099472494348154,0.8917644698565553,3,0.2499992259284335,0.24999981143309957
0.1980798383021728,0.5389925850166198,0.006771096513390602,0.10420065252854813,0.10954381752701081,0.159955818857315,0.19807344972907887,0.12840076297560485,0.7101800554016621,0.615424111727254,0.749472202674173,0.7875902165196471,0.4595407600521408,0.9493427704752275,0.06155388471177945,0.40201308505284356,0.3847775881112562,0.20586175852755825,0.021143777688280307,0.462559529840916,0.23507574997491723,0.5135737439222042,0.14626503588395834,0.15080511973575556,0.14337240757439135,0.42465479287572544,0.45058023209283715,0.02431702191534074,0.5440844009042953,0.877319691042231,3,0.24999801161071217,0.24999951560876463
0.1145022738756948,0.5167476348759908,0.7776654876200101,0.37520391517128876,0.14245698279311725,0.2844663118787027,0.2422235601043548,0.10561188635679149,0.893005540166205,0.9999999999999999,0.49814014275661,0.11467522052927023,0.34523212674220394,0.27391304347826084,0.0912280701754386,0.7494715651736287,0.568430565317803,0.1867560268080424,0.5988723318566251,0.9324146316749418,0.14818902377846896,0.05004051863857374,0.9915091478823411,0.560383980181668,0.20889690411782386,0.8667200320192116,0.6871748699479793,0.25768037626338436,0.9999999999999999,0.016150065202126595,3,0.24999984403823386,0.24999996201214758
0.20414350682162707,0.3623114293019688,0.13016675088428498,0.1137846655791191,0.10024009603841537,0.13274425143086654,0.019867549668874173,0.10470836261419536,0.6201523545706371,0.6035120147874307,0.761134010254348,0.7819767441860466,0.5450716935726462,0.9534883720930233,0.11508771929824561,0.24650226472068446,0.5711416808916558,0.18855656697009102,0.1752919855014096,0.5176816293444119,0.2247416474365406,0.3340761750405186,0.14596179116547053,0.13697357555739056,0.13635908225628693,0.020412247348409046,0.00040016006402561027,0.16261382968077653,0.3558402411454408,0.7689838499347978,3,0.24999843873471966,0.24999961966198933
0.12491157150075796,0.03579647149066735,0.8280949974734715,0.46798531810766725,0.12775110044017607,0.0011045285671252136,0.1583383503913305,0.812067061540006,0.7164127423822715,0.7811665639761757,0.33618176334573235,0.8911387329591018,0.2220996691065878,0.2735085945399393,0.07518796992481203,0.3354806240563664,0.36871171804398034,0.11373412023607082,0.21647200966572694,0.5143378255142366,0.15380756496438247,0.4775121555915721,0.0966339836247852,0.7398843930635838,0.1781384630798517,0.5251150690414249,0.5357142857142857,0.17422195536875812,0.6001507159005275,0.12358310763366435,3,0.24999887219537506,0.24999972526879158
0.18352703385548255,0.506520071592943,0.1145022738756948,0.0875815660685155,0.9465786314525811,0.010342403855808816,0.11308448725667268,0.0074289729946792485,0.6149584487534626,0.5890326555760936,0.44897959183673464,0.7738572574178028,0.0316855509876667,0.5436804853387259,0.43238095238095237,0.13789632611977856,0.22632794457274827,0.10393117935380614,0.13632702376157874,0.22018441584760362,0.22815290458513093,0.5567260940032415,0.14697260689376326,0.14017341040462428,0.14317202685101693,0.2576545927556534,0.3785514205682273,0.19333533473431402,0.4611906556141673,0.838198415086769,3,0.24999918859614334,0.2499998023400288
0.13764527539161192,0.5282536435694196,0.08479029813036887,0.5707585644371942,0.11884753901560625,0.1645747565016568,0.9397953040337146,0.600843288826423,0.7541551246537396,0.7645307044567672,0.5865084950236251,0.13682838813151563,0.38644339717236537,0.5138523761375127,0.8826065162907268,0.3036738802214394,0.24982427954613917,0.14484345303591079,0.14810712847362062,0.5477758638159895,0.16976020868867261,0.56645056726094,0.10391185686849287,0.06699009083402147,0.16441238352870452,0.36832099259555734,0.2679071628651461,0.1557089962974082,0.4812358703843255,0.11425418798274652,3,0.24999769184872167,0.24999943771518263
0.000404244567963618,0.5535668626949629,0.08206164729661446,0.511521207177814,0.12725090036014405,0.19339291093483282,0.18653421633554085,0.9389619516112839,0.07513850415512466,0.7581638940234133,0.3078315069870312,0.09923817161186849,0.2410508372606036,0.2444893832153691,0.574436090225564,0.35128334172118775,0.3567627271814439,0.12263679103731119,0.21425694724124042,0.37926841625291313,0.15400822714959367,0.6189222042139384,0.09946426766400486,0.7375103220478944,0.1693217112513776,0.5403241945167101,0.05392156862745098,0.02061443010107075,0.6593820648078371,0.10632962182766575,3,0.24999814007982318,0.24999954691309692
0.12501263264274887,0.6103298389158783,0.842243557352198,0.4667618270799348,0.11854741896758704,0.23998393412993274,0.22807545655227773,0.8576448147776328,0.06405817174515235,0.8458615732183199,0.29908515130190005,0.15908179631114674,0.20425147899328186,0.24064711830131447,0.7165914786967419,0.7252138902868647,0.7774876995682297,0.14324297289186755,0.17861457913813936,0.10153004357077719,0.1499949834453697,0.8205024311183144,0.9791771959971698,0.7087118084227911,0.18435026550445846,0.1057634580748449,0.11054421768707484,0.02211548083658561,0.6575734740015071,0.2069415187079948,3,0.2499999739869182,0.24999999367057818
